TEMPLATE_ID,SUBJECT_ID,FILE
0,1673,img/8565.jpg
0,1673,img/8559.jpg
0,1673,img/8579.jpg
0,1673,img/8558.jpg
0,1673,frame/29930_00060.png
0,1673,frame/29930_00120.png
0,1673,frame/29930_00180.png
0,1673,frame/29930_00240.png
0,1673,frame/29930_00300.png
0,1673,frame/29930_00360.png
0,1673,frame/29930_00390.png
0,1673,frame/29930_00450.png
0,1673,frame/29985_00000.png
0,1673,frame/29985_00060.png
0,1673,frame/29985_00090.png
0,1673,frame/29985_00150.png
0,1673,frame/29985_00210.png
0,1673,frame/29985_00270.png
0,1673,frame/29985_00321.png
0,1673,frame/29985_00381.png
0,1673,frame/29985_00441.png
0,1673,frame/29985_00480.png
0,1673,frame/29985_00540.png
1,1673,img/8580.jpg
2,1673,img/8563.JPG
5,1673,img/8572.jpg
6,1673,img/8564.jpg
7,1673,frame/29931_00000.png
7,1673,frame/29931_00060.png
7,1673,frame/29931_00120.png
7,1673,frame/29931_00180.png
7,1673,frame/29931_00240.png
7,1673,frame/29931_00300.png
7,1673,frame/29931_00315.png
7,1673,frame/29931_00375.png
7,1673,frame/29931_00435.png
7,1673,frame/29931_00495.png
7,1673,frame/29931_00555.png
11,3273,img/36539.jpg
11,3273,img/36546.jpg
11,3273,frame/36549_00000.png
11,3273,frame/36549_00060.png
11,3273,frame/36549_00120.png
11,3273,frame/36549_00180.png
11,3273,frame/36549_00240.png
11,3273,frame/36549_00300.png
11,3273,frame/36549_00360.png
11,3273,frame/36549_00420.png
11,3273,frame/36549_00480.png
11,3273,frame/36549_00540.png
11,3273,frame/36549_00600.png
11,3273,frame/36549_00660.png
11,3273,frame/36549_00720.png
11,3273,frame/36580_00060.png
11,3273,frame/36580_00120.png
11,3273,frame/36580_00169.png
11,3273,frame/36580_00227.png
11,3273,frame/36580_00287.png
11,3273,frame/36580_00347.png
11,3273,frame/36580_00407.png
11,3273,frame/37147_00000.png
11,3273,frame/37147_00060.png
11,3273,frame/37147_00115.png
11,3273,frame/37147_00142.png
11,3273,frame/37147_00168.png
11,3273,frame/37147_00193.png
12,3273,img/36541.jpg
13,3273,img/36542.jpg
14,3273,img/36543.jpg
15,3273,img/36544.jpg
16,3273,img/36545.jpg
17,3273,frame/36540_00000.png
17,3273,frame/36540_00060.png
17,3273,frame/36540_00120.png
17,3273,frame/36540_00180.png
17,3273,frame/36540_00240.png
17,3273,frame/36540_00300.png
17,3273,frame/36540_00330.png
17,3273,frame/36540_00390.png
17,3273,frame/36540_00450.png
17,3273,frame/36540_00510.png
17,3273,frame/36540_00570.png
17,3273,frame/36540_00630.png
17,3273,frame/36540_00690.png
17,3273,frame/36540_00750.png
17,3273,frame/36540_00780.png
17,3273,frame/36540_00840.png
17,3273,frame/36540_00900.png
18,3273,frame/36547_00000.png
18,3273,frame/36547_00060.png
18,3273,frame/36547_00120.png
18,3273,frame/36547_00180.png
18,3273,frame/36547_00240.png
18,3273,frame/36547_00300.png
18,3273,frame/36547_00330.png
18,3273,frame/36547_00390.png
18,3273,frame/36547_00450.png
18,3273,frame/36547_00510.png
18,3273,frame/36547_00570.png
18,3273,frame/36547_00630.png
18,3273,frame/36547_00690.png
18,3273,frame/36547_00750.png
18,3273,frame/36547_00780.png
18,3273,frame/36547_00840.png
18,3273,frame/36547_00900.png
22,417,img/2546.jpg
22,417,img/2535.jpg
22,417,img/2569.jpg
22,417,img/2541.jpg
22,417,img/2547.jpg
22,417,img/2539.jpg
22,417,img/2538.jpg
22,417,frame/28825_00000.png
22,417,frame/28825_00060.png
22,417,frame/28798_00000.png
22,417,frame/28798_00060.png
22,417,frame/28798_00120.png
22,417,frame/28798_00150.png
22,417,frame/28798_00210.png
22,417,frame/28798_00270.png
22,417,frame/28798_00330.png
22,417,frame/28798_00390.png
22,417,frame/28798_00450.png
22,417,frame/28798_00510.png
22,417,frame/28798_00570.png
22,417,frame/28798_00600.png
22,417,frame/28798_00660.png
22,417,frame/28798_00720.png
22,417,frame/28843_00000.png
22,417,frame/28843_00060.png
22,417,frame/28843_00120.png
22,417,frame/28843_00180.png
22,417,frame/28843_00240.png
22,417,frame/28843_00255.png
22,417,frame/28843_00315.png
22,417,frame/28843_00375.png
22,417,frame/30391_00000.png
22,417,frame/30391_00060.png
22,417,frame/30391_00120.png
22,417,frame/28846_00000.png
22,417,frame/28846_00060.png
22,417,frame/28846_00120.png
22,417,frame/28846_00135.png
22,417,frame/28846_00195.png
22,417,frame/28846_00255.png
22,417,frame/28846_00315.png
23,417,img/2534.jpeg
24,417,img/2528.jpg
25,417,img/2564.jpg
26,417,img/2558.jpg
27,417,frame/28819_00000.png
27,417,frame/28819_00060.png
27,417,frame/28819_00120.png
27,417,frame/28819_00180.png
27,417,frame/28819_00240.png
27,417,frame/28819_00300.png
27,417,frame/28819_00315.png
27,417,frame/28819_00375.png
28,417,frame/28795_00000.png
28,417,frame/28795_00120.png
28,417,frame/28795_00180.png
28,417,frame/28795_00240.png
29,417,frame/28824_00000.png
29,417,frame/28824_00060.png
33,283,img/1513.JPG
33,283,img/1512.jpg
33,283,img/2662.JPG
33,283,img/11091.JPG
33,283,frame/28593_00000.png
33,283,frame/28593_00060.png
33,283,frame/28593_00120.png
33,283,frame/28593_00135.png
33,283,frame/28593_00195.png
33,283,frame/28593_00255.png
33,283,frame/28593_00315.png
33,283,frame/28593_00375.png
34,283,img/1514.JPG
36,283,img/11088.jpg
37,283,img/1519.jpg
38,283,img/1515.jpg
39,283,frame/28625_00000.png
39,283,frame/28625_00060.png
39,283,frame/28625_00103.png
39,283,frame/28625_00163.png
39,283,frame/28625_00223.png
39,283,frame/28625_00283.png
39,283,frame/28625_00343.png
39,283,frame/28625_00403.png
39,283,frame/28625_00463.png
39,283,frame/28625_00478.png
66,569,img/3733.jpg
66,569,img/3578.jpg
66,569,img/3735.jpg
66,569,img/3745.jpg
67,569,img/3738.jpg
68,569,img/3737.jpg
69,569,frame/28972_00000.png
69,569,frame/28972_00060.png
69,569,frame/28972_00120.png
69,569,frame/28972_00180.png
69,569,frame/28972_00240.png
69,569,frame/28972_00300.png
69,569,frame/28972_00360.png
69,569,frame/28972_00405.png
69,569,frame/28972_00465.png
69,569,frame/28972_00525.png
70,569,frame/29147_00000.png
71,569,frame/29176_00000.png
71,569,frame/29176_00060.png
